date,ndvi_mean,cloud_cover
2024-07-09,0.5865390715557898,20.80391
2024-07-24,0.7459192237521273,18.909553
2024-10-15,0.8185743335882306,15.305506
2024-11-01,0.863650133338901,9.715443
2024-11-24,0.8912854608414618,3.224611
2024-11-26,0.6910728555566308,23.753013
2024-11-29,0.8641381517990205,15.982822
2024-12-01,0.8696026482173944,10.182528
2024-12-19,0.8485139668881916,18.656933
2025-01-03,0.8778529681041537,19.807124
2025-01-10,0.895665618829502,0.063171
2025-01-18,0.8786532036985721,3.436757
2025-01-25,0.8483477284135315,22.259635
2025-01-28,0.8495861106183284,19.257349
2025-02-02,0.6231117206095029,24.598017
2025-02-07,0.5939347257252537,23.248279
2025-03-04,0.74162837756743,19.860202
2025-03-06,0.6671190214269356,11.943505
2025-03-11,0.7713966785110673,4.004858
2025-03-14,0.7435841742662229,12.535509
2025-03-19,0.7734387780103088,1.283059
2025-03-26,0.7189492037047749,15.8252855
2025-04-10,0.7093414234050786,16.049445
2025-04-12,0.7154956321377092,10.108538
2025-04-13,0.7366819028102003,6.463363
2025-04-18,0.6026378894745501,9.308271
2025-05-05,0.4580385547380748,20.175733
2025-05-15,0.532655857157663,19.7249
2025-05-30,0.5782829730734617,23.911116
