date,ndvi_mean,cloud_cover
2024-07-02,0.6108587513290471,20.739962
2024-07-07,0.6532919323496312,21.252057999999998
2024-07-12,0.5187524168957061,13.409692499999998
2024-07-17,0.7415271434049241,24.620265
2024-08-21,0.7554376171250662,5.915305
2024-08-26,0.7538592740793323,20.0660765
2024-10-15,0.7881947600944897,23.256186
2024-11-24,0.8839184780498912,1.378991
2024-11-29,0.8415315921527731,3.6181525
2024-12-14,0.7016068840674742,17.18353875
2025-01-03,0.6839384176327887,10.753295999999999
2025-01-18,0.7701312896814418,0.0112765
2025-02-02,0.6380489802687629,13.856724
2025-02-07,0.6505952166553549,0.790075
2025-02-12,0.5624230060135386,4.699778500000001
2025-02-27,0.6252109062588254,0.102755
2025-03-04,0.5289066878551821,14.3648025
2025-03-09,0.6866921570466169,4.2117875
2025-03-14,0.7447562795147566,0.0726455
2025-03-19,0.72405625556651,0.0170165
2025-03-26,0.5006406227810727,12.259314
2025-03-29,0.41693830649831004,23.993272
2025-04-03,0.5756778379370118,8.1163645
2025-04-13,0.5444116882910659,0.017414
2025-04-15,0.5342823896864626,0.0631205
2025-04-18,0.514912552632803,0.0347065
2025-04-28,0.38537298386921714,22.235049500000002
2025-05-03,0.43790131727205217,4.6786265
2025-05-05,0.4422184362071734,0.10914499999999999
2025-05-08,0.38000521574959056,20.062957
2025-05-18,0.3311665513007877,14.986911
2025-06-02,0.319539679289094,14.883191499999999
2025-06-07,0.38456465910858456,8.6825885
